date,open,high,low,close,volume
2021-06-24,3476.68,3487.27,3452.61,3483.91,287692000.0
2021-06-25,3483.16,3545.43,3479.74,3535.02,360272000.0
2021-06-28,3541.1,3543.7,3502.78,3520.74,297017000.0
2021-06-29,3514.32,3517.36,3475.44,3482.73,288146000.0
2021-06-30,3477.38,3504.96,3477.38,3498.65,249328000.00000003
2021-07-01,3510.56,3535.33,3479.52,3535.25,295532000.0
2021-07-02,3495.6,3495.6,3403.8,3408.24,347109000.0
2021-07-05,3402.11,3415.56,3376.84,3404.79,309268000.0
2021-07-06,3405.47,3406.76,3368.14,3405.28,292118000.0
2021-07-07,3384.57,3433.73,3382.24,3424.39,269195000.0
2021-07-08,3432.89,3434.15,3365.53,3373.26,338625000.0
2021-07-09,3359.2,3373.14,3329.74,3361.59,316366000.0
2021-07-12,3385.12,3413.35,3357.13,3384.51,384163000.0
2021-07-13,3384.75,3409.79,3377.2,3391.74,314077000.0
2021-07-14,3385.39,3385.39,3328.88,3339.38,347337000.0
2021-07-15,3335.05,3414.42,3332.78,3411.29,319552000.0
2021-07-16,3405.4,3413.27,3365.95,3369.9,272299000.0
2021-07-19,3362.58,3390.27,3322.32,3385.37,298170000.0
2021-07-20,3364.31,3382.09,3357.75,3378.63,258654000.0
2021-07-21,3385.14,3410.82,3375.63,3388.52,334906000.0
2021-07-22,3386.91,3410.63,3378.12,3392.72,369554000.0
2021-07-23,3389.4,3389.43,3353.04,3357.45,368479000.0
2021-07-26,3339.86,3339.86,3195.62,3228.37,443396000.0
2021-07-27,3228.44,3238.39,3117.61,3126.38,498487000.0
2021-07-28,3107.12,3171.08,3098.02,3154.64,405196000.0
2021-07-29,3206.44,3207.9,3159.77,3182.8,356499000.0
2021-07-30,3160.47,3160.47,3114.51,3132.82,323889000.0
2021-08-02,3112.3,3217.81,3082.83,3211.14,455750000.0
2021-08-03,3197.89,3235.4,3181.76,3223.83,388952000.0
2021-08-04,3219.4,3242.39,3211.4,3233.1,336495000.0
2021-08-05,3214.47,3266.3,3198.37,3227.36,318436000.0
2021-08-06,3211.64,3213.1,3181.38,3195.7,299077000.0
2021-08-09,3171.1,3253.08,3169.19,3235.21,387429000.0
2021-08-10,3231.15,3290.25,3193.96,3288.65,324648000.0
2021-08-11,3280.81,3298.41,3259.53,3262.58,400663000.0
2021-08-12,3247.8,3262.9,3222.69,3226.11,322633000.0
2021-08-13,3212.33,3242.31,3199.86,3217.84,282096000.0
2021-08-16,3212.66,3246.93,3205.53,3222.62,325496000.0
2021-08-17,3219.83,3240.33,3141.66,3149.88,397847000.0
2021-08-18,3148.38,3204.87,3133.88,3190.55,455003000.0
2021-08-19,3179.93,3185.73,3130.47,3144.37,451996000.0
2021-08-20,3105.16,3118.7,3044.88,3072.75,385366000.0
2021-08-23,3079.29,3109.99,3069.53,3099.89,316640000.0
2021-08-24,3106.23,3160.56,3104.97,3147.77,382082000.0
2021-08-25,3160.74,3173.37,3138.22,3159.8,336668000.0
2021-08-26,3156.91,3156.91,3087.3,3088.83,315999000.0
2021-08-27,3086.05,3145.98,3084.31,3123.05,326134000.0
2021-08-30,3141.12,3141.76,3092.83,3112.7,452088000.0
2021-08-31,3099.47,3122.91,3056.7,3097.06,516077000.00000006
2021-09-01,3087.26,3185.82,3064.5,3165.04,730414000.0
2021-09-02,3166.27,3189.25,3149.25,3167.1,517864999.99999994
2021-09-03,3172.5,3203.32,3137.88,3175.88,527692000.0
2021-09-06,3175.88,3228.95,3166.62,3211.2,457553000.0
2021-09-07,3210.27,3259.92,3192.02,3248.05,461854000.0
2021-09-08,3241.0,3254.1,3203.28,3213.26,420631000.00000006
2021-09-09,3195.99,3208.63,3183.21,3204.28,523551000.0
